actionid,casenumber,actionposition,actiontypecode,actiontype,actionstatuscode,utcstartdate,utcenddate,duration,actioneditororganisation,actioneditordepartment,actioncreatororganisation,actioncreatordepartment,referencetype,actioncallstate
933162643,***MASKED***,13,10,Outgoing call,20,2024-01-12 17:00:08.000000,2024-01-12 17:01:08.000000,1.0,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933163113,***MASKED***,35,10,Outgoing call,20,2024-01-12 17:31:00.000000,2024-01-12 17:32:01.000000,1.0166666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933167448,***MASKED***,3,10,Outgoing call,20,2024-01-13 02:36:25.000000,2024-01-13 02:36:28.000000,0.05,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933184779,***MASKED***,4,10,Outgoing call,20,2024-01-15 08:19:58.000000,2024-01-15 08:20:32.000000,0.5666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933189240,***MASKED***,6,10,Outgoing call,20,2024-01-15 09:25:30.000000,2024-01-15 09:34:17.000000,8.783333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933192884,***MASKED***,4,10,Outgoing call,20,2024-01-15 10:33:41.000000,2024-01-15 10:54:21.000000,20.666666666666668,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933193410,***MASKED***,6,10,Outgoing call,20,2024-01-15 10:43:17.000000,2024-01-15 11:06:46.000000,23.48333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933195888,***MASKED***,4,10,Outgoing call,20,2024-01-15 11:49:55.000000,2024-01-15 11:55:45.000000,5.833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933197080,***MASKED***,44,10,Outgoing call,20,2024-01-15 12:15:35.000000,2024-01-15 12:16:26.000000,0.85,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Busy
933201204,***MASKED***,21,10,Outgoing call,20,2024-01-15 13:27:09.000000,2024-01-15 13:42:40.000000,15.516666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933205494,***MASKED***,13,10,Outgoing call,20,2024-01-15 14:39:39.000000,2024-01-15 15:09:07.000000,29.466666666666665,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933207566,***MASKED***,4,10,Outgoing call,20,2024-01-15 15:17:37.000000,2024-01-15 18:42:13.000000,204.6,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933219394,***MASKED***,3,10,Outgoing call,20,2024-01-16 03:34:45.000000,2024-01-16 03:34:49.000000,0.0666666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933224545,***MASKED***,5,10,Outgoing call,20,2024-01-16 07:15:39.000000,2024-01-16 07:15:55.000000,0.2666666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Busy
933224575,***MASKED***,3,10,Outgoing call,20,2024-01-16 07:16:17.000000,2024-01-16 07:16:22.000000,0.0833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933226950,***MASKED***,8,10,Outgoing call,20,2024-01-16 07:55:55.000000,2024-01-16 07:58:34.000000,2.65,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933235050,***MASKED***,7,10,Outgoing call,20,2024-01-16 10:22:48.000000,2024-01-16 10:31:00.000000,8.2,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933235579,***MASKED***,5,10,Outgoing call,20,2024-01-16 10:32:53.000000,2024-01-16 10:51:20.000000,18.45,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933240119,***MASKED***,4,10,Outgoing call,20,2024-01-16 12:30:55.000000,2024-01-16 12:37:14.000000,6.316666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933242701,***MASKED***,25,10,Outgoing call,20,2024-01-16 13:20:06.000000,2024-01-16 13:20:35.000000,0.4833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933253378,***MASKED***,6,10,Outgoing call,20,2024-01-16 16:45:04.000000,2024-01-17 22:15:14.000000,1770.1666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933256217,***MASKED***,11,10,Outgoing call,20,2024-01-16 19:32:59.000000,2024-01-23 18:46:09.000000,10033.166666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933264554,***MASKED***,4,10,Outgoing call,20,2024-01-17 06:00:53.000000,2024-01-17 06:29:35.000000,28.7,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933267558,***MASKED***,5,10,Outgoing call,20,2024-01-17 07:13:51.000000,2024-01-17 07:14:14.000000,0.3833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933267805,***MASKED***,5,10,Outgoing call,20,2024-01-17 07:18:47.000000,2024-01-17 07:19:56.000000,1.15,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933269797,***MASKED***,5,10,Outgoing call,20,2024-01-17 07:56:16.000000,2024-01-17 07:59:30.000000,3.2333333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933271340,***MASKED***,6,10,Outgoing call,20,2024-01-17 08:25:25.000000,2024-01-17 08:43:38.000000,18.216666666666665,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933273117,***MASKED***,12,10,Outgoing call,20,2024-01-17 08:54:27.000000,2024-01-17 08:55:50.000000,1.3833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933273293,***MASKED***,3,10,Outgoing call,20,2024-01-17 08:56:37.000000,2024-01-17 09:01:49.000000,5.2,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933279014,***MASKED***,3,10,Outgoing call,20,2024-01-17 10:39:39.000000,2024-01-17 10:39:43.000000,0.0666666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933280523,***MASKED***,18,10,Outgoing call,20,2024-01-17 11:15:11.000000,2024-01-17 11:29:52.000000,14.683333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933282816,***MASKED***,3,10,Outgoing call,20,2024-01-17 12:20:06.000000,2024-01-17 12:37:45.000000,17.65,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933286262,***MASKED***,27,10,Outgoing call,20,2024-01-17 13:29:26.000000,2024-01-17 13:31:28.000000,2.033333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933287838,***MASKED***,20,10,Outgoing call,20,2024-01-17 13:55:28.000000,2024-01-19 09:43:57.000000,2628.483333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933293432,***MASKED***,15,10,Outgoing call,20,2024-01-17 15:41:43.000000,2024-01-17 15:45:42.000000,3.983333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933297197,***MASKED***,22,10,Outgoing call,20,2024-01-17 18:12:24.000000,2024-01-17 18:20:03.000000,7.65,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
